      material  location  period     label       f_0     res_1       f_1  \
89         3.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
90         3.0       5.0    12.0  0.180000  0.138144  0.041856  0.138330   
91         3.0       5.0    24.0  0.160000  0.138144  0.021856  0.138330   
92         3.0       5.0    48.0  0.110000  0.138144 -0.028144  0.138330   
93         3.0       5.0    96.0  0.100000  0.138144 -0.038144  0.133341   
94         3.0       5.0   192.0  0.080000  0.138144 -0.058144  0.133341   
95         3.0      13.0    12.0  0.120000  0.138144 -0.018144  0.145557   
96         3.0      13.0    24.0  0.340000  0.138144  0.201856  0.145557   
97         3.0      13.0    48.0  0.390000  0.138144  0.251856  0.145557   
98         3.0      11.0    12.0  0.180000  0.138144  0.041856  0.138330   
99         3.0      11.0    24.0  0.140000  0.138144  0.001856  0.138330   
100        3.0      11.0    48.0  0.120000  0.138144 -0.018144  0.138330   
101        3.0      11.0    96.0  0.091000  0.138144 -0.047144  0.133341   
102        3.0      11.0   192.0  0.066000  0.138144 -0.072144  0.133341   
103        3.0      10.0    12.0  0.110000  0.138144 -0.028144  0.138330   
104        3.0      10.0    24.0  0.110000  0.138144 -0.028144  0.138330   
105        3.0      10.0    48.0  0.073000  0.138144 -0.065144  0.138330   
106        3.0      10.0    96.0  0.057000  0.138144 -0.081144  0.133341   
107        3.0      10.0   192.0  0.074000  0.138144 -0.064144  0.133341   
108        4.0       9.0    12.0  0.480000  0.138144  0.341856  0.138330   
109        4.0       9.0    24.0  0.590000  0.138144  0.451856  0.138330   
110        4.0       9.0    48.0  0.520000  0.138144  0.381856  0.138330   
111        4.0       7.0    12.0  0.280000  0.138144  0.141856  0.138330   
112        4.0       7.0    24.0  0.170000  0.138144  0.031856  0.138330   
113        4.0       7.0    48.0  0.110000  0.138144 -0.028144  0.138330   
114        4.0       7.0    96.0  0.080000  0.138144 -0.058144  0.133341   
115        4.0       7.0   192.0  0.050000  0.138144 -0.088144  0.133341   
116        4.0       5.0    12.0  0.180000  0.138144  0.041856  0.138330   
117        4.0       5.0    24.0  0.140000  0.138144  0.001856  0.138330   
118        4.0       5.0    48.0  0.120000  0.138144 -0.018144  0.138330   
119        4.0       5.0    96.0  0.100000  0.138144 -0.038144  0.133341   
120        4.0       5.0   192.0  0.090000  0.138144 -0.048144  0.133341   
121        4.0      13.0    12.0  0.180000  0.138144  0.041856  0.145557   
122        4.0      13.0    24.0  0.560000  0.138144  0.421856  0.145557   
123        4.0      13.0    48.0  0.600000  0.138144  0.461856  0.145557   
124        4.0      11.0    12.0  0.210000  0.138144  0.071856  0.138330   
125        4.0      11.0    24.0  0.160000  0.138144  0.021856  0.138330   
126        4.0      11.0    48.0  0.120000  0.138144 -0.018144  0.138330   
127        4.0      11.0    96.0  0.095000  0.138144 -0.043144  0.133341   
128        4.0      11.0   192.0  0.069000  0.138144 -0.069144  0.133341   
129        4.0      10.0    12.0  0.110000  0.138144 -0.028144  0.138330   
130        4.0      10.0    24.0  0.100000  0.138144 -0.038144  0.138330   
131        4.0      10.0    48.0  0.073000  0.138144 -0.065144  0.138330   
132        4.0      10.0    96.0  0.057000  0.138144 -0.081144  0.133341   
133        4.0      10.0   192.0  0.056000  0.138144 -0.082144  0.133341   
134        5.0       9.0    12.0  0.130000  0.138144 -0.008144  0.138330   
135        5.0       9.0    24.0  0.170000  0.138144  0.031856  0.138330   
136        5.0       9.0    48.0  0.310000  0.138144  0.171856  0.138330   
137        5.0       9.0    96.0  0.330000  0.138144  0.191856  0.133341   
138        5.0       7.0    12.0  0.250000  0.138144  0.111856  0.138330   
139        5.0       7.0    24.0  0.160000  0.138144  0.021856  0.138330   
140        5.0       7.0    48.0  0.090000  0.138144 -0.048144  0.138330   
141        5.0       7.0    96.0  0.060000  0.138144 -0.078144  0.133341   
